"","muse.track","muse.artist","lyrics"
"1307","The Skank Heads","Skunk Anansie","You have seen me lie You have seen me crucify respect Seen redundant eyes Seen the tension stagger to the mike Made the bed too high Have to slag on matey floors of sin Slap the face too sane See the face too wet as I Deny - myself Get off, get off me Bet ya' posing hard So secure a smacked up cuntie bitch Now you're stuck for words Scrambling for sarcastic wit But I got that special knowledge Of the crap that makes your skank Head tick All that brave you like All that shirty pretense You deny - yourself"
"13110","Out Of Phase","Sugarcult","I'm out of range and you're all radio I want my entertainment I'm out of phase and you're all stereo I want my entertainment loud right now You should've known the difference I'm out of range and you're all radio I want communication Break There's so much useless noise that I can't take There's so much useless noise I can't break through I'm out of range but not invisible Don't want my entertainment Vacant like an empty statement I wanna burn this station down right now You should've kept your distance I'm out of phase and you're all stereo I want communication Break There's so much useless noise that I can't take The sounds are getting louder every day There's so much useless noise That I can't take I'm out of phase We walk alone like broken lovers Behind the bars and the discotechs Love is a product and sex is the currency We're all cheaters if we can't win Blood, liquor and the holy bible paint a picture of a Kinder gentler world An art that seems to have no ending One that leaves us standing at the gates with broken wings While our heart scan reports: Access denied, access denied (We have arrived) Break There's so much useless noise that I can't take The sounds are getting louder everyday There's so much useless noise that I can't take I'm tortured by the airwaves, I feel Vacant like an empty statement You and I cannot escape this Vacant like an empty statement You and I cannot escape this"
"132","Quick Death","Transplants","""And I ask you, my brothers and sisters, who is the true animal?"" Looks so violent, death is silent Beating me with your words I'm bleeding now Battled to your head And degenerating here at the brand new hope Devils surround me Anger astounds me Tearing apart my soul Beneath my guts About to go outside But he don't realize they Seem to have lost control ""And now, my brothers and sisters, the inversion begins"" Forever in night light, losing in hindsight Ownership changes hands You'll never know It only gets through me Causing a slow death Welcome to human hell I got you a new fate Back in the sweepstakes Leaving the streets behind Your final sign Silence is true peace Don't ever read me Aloud cause I'll take your life [Davey Havok] Wishing for [Rob Aston] Wishing for A quick death A quick death A quick death [x6]"
"1335","Pills","Primal Scream","I'm gonna tell the truth, the truth about you Truth about you, you never been true You ain't nothing, you got nothing to say Shine a light on you, you fade away, fade away I'm gonna tell the truth, the truth about you Truth about you, you never been true You ain't nothing, you got nothing to say Shine a light on you, you fade away, fade away Woke up, still drunk I'm gonna tell you the truth, the truth about you Throwin' up, pissin' blood Truth about you, you never been true Sick guts, sore skin You ain't nothing, you got nothing to say Burned out, holed in Shine a light on you, you fade away, fade away I can't move, I can't speak I'm gonna tell you the truth, the truth about you Cracked head, can't sleep Truth about you, you never been true I'm ripped up, I'm ripped off You ain't nothing, you got nothing to say Can't crawl, can't walk Shine a light on you, you fade away, fade away Jet plane blasts off I'm gonna tell you the truth, the truth about you Jet plane dive bombs Truth about you, you never been true Bad seed, golden spleen You ain't nothing, you got nothing to say Bad blood, bad dreams Shine a light on you, you fade away, fade away Sick blood, holed skin I'm gonna tell you the truth, the truth about you Cracked guts, sore speak Truth about you, you never been true Burned head, drunk sleep You ain't nothing, you got nothing to say Can't walk, can't see Shine a light on you, you fade away, fade away Burned out, holed in, sick guts, sore skin Throwin' up, pissin' blood, woke up, still drunk Ripped up, ripped off, can't crawl, can't walk Jet plane blasts off, jet plane dive bombs Say you're out to get me, you'll never catch me Bad seed, golden spleen, bad blood, dead dreams You say you're narcoleptic, you're parapletic Dead dreams, dead dreams Such a scenic syphilitic, psycho-parasitic Sub-mosquito, sick libido, fucked up, you're a sick Fuck, fuck, fuck, fuck, fuck, fuck Fuck, fuck, fuck, fuck, fuck, fuck Sick, sick, sick, sick, sick, sick, sick Fuck, fuck, sick, fuck, fuck, sick, fuck, fuck Sick, fuck, fuck, sick, fuck, fuck, sick, fuck Fuck, sick, fuck, fuck, sick, fuck, fuck, sick, fuck, fuck"
"1351","Shut Up and Swallow","Combichrist","""You know the truth."" ""...Where are you?"" ""You could call it the end of the world."" You fucking parasite Feeding off my flesh like a leech Sucking me dry Here's some head Hope you get it in your throat Hope you gag and choke Your pale little face turning blue Now you want it in your ass, as I spit in your face Face down on the floor holding you by your neck Do you feel like a wreck? No, that's life, kiddo Now shut up and swallow (swallow, swallow) Shut up and swallow (swallow, swallow) You'll get nothing for free Don't try to suck it off me You always take you what you want Now I just take what is mine I'll get you after this You tell of life.. It's up to you to fill it with substance I'll play your game A lesson of life: It's not what you want, but what you get You'll feel it from within as I work my way out Such a pretty girl, but such a dirty mouth Now you want it in your ass, as I spit in your face Face down on the floor, holding you by your neck Do you feel like a wreck? No, that is life, kiddo Now shut up and swallow (swallow, swallow) Shut up and swallow (swallow, swallow) ""Where are you?"" ""You could call it the end of the world."""
"13710","Bacdafucup","Onyx","(Move back, motherfuckers!) The Onyx is here! Back da fuck up! Back da fuck up! (Move back, motherfuckers!) The Onyx is here! Back da fuck up! Just back da fuck up! (Move back, motherfuckers!) The Onyx is here! Back da fuck up! You betta back da fuck up! (Move back, motherfuckers!) The Onyx is here! Back da fuck up! Back da fuck up! Back da fuck up, back da fuck up Back da fuck up, you betta back da fuck up (Move back, motherfuckers!) The Onyx is here! Back da fuck up! Back da fuck up! (Move back, motherfuckers!) The Onyx is here!"
"138","Untitled Song for Latin America","Minutemen","The western hemisphere and all inside We know who's murdering the innocent They are children playing with guns They are children playing with countries Mining harbors, creating contras The games they play, the lives they take They bank their money in this country They steal from the innocent A colonial trait that's much too old The banks, the lives, the profits, the lies The banks, the profits, the lives and the lies I would call it genocide Any other word would be a lie"
"1402","Convict Colony","Saul Williams","The legion is on fire The legion is on fire The legion is on fire I was born in a convict colony And I was torn from the land that mothered me Mother, may I? She said yes, you may Well, today I, I say right here today You're a Convict Colony If you're running from the sun You're a Convict Colony A Convict Colony And you don't really want it You don't really want it I was birthed from the Earth Fought my way to this day Now, I'm grown, truth be told I'll be here 'til you're gone You're a Convict Colony If you're running from the sun You're a Convict Colony If you're reaching for your gun You're a Convict Colony If you're running from the sun You're a Convict Colony A Convict Colony And you don't really want it And you don't really want it And you don't really want it And you don't really want it And you don't really want it And you don't really want it And you don't really want it And you don't really want it And you don't really want it And you don't really want it And you don't really want it And you don't really want it And you don't really want"
"1413","A Arte do Insulto","Matanza","Nada mal prum boçal Retardado mental e infeliz Tanto quis ser o tal Conhecido entre Os mais imbecis Muito bem Você tem O talento que faz de você Tão proeminente panaca Dos que não são Comuns de se ver Começou Fazendo bobagem Desde que chegou Não parou Nem quando o bar Todo esvaziou Bebe demais Fala demais Mas na real Não diz merda nenhuma Só fica aí Cheio de si Mas não resolve As cagadas que arruma Enquanto você fica aí Arrumando tumulto Eu vou me aprimorando Na arte do insulto"
"1422","Delusions of Grandeur","From Autumn To Ashes","Pressing on about our business Comfort is getting too expensive Hot-shots for the pigeons with a death sentence You're something like a pistol That's been polished bright But if it never leaves the holster It can never save your life I need a meaning I can get behind (To be alone, to be alive) A better message to subscribe to (To be alone, to be alive) Set sun, I'm an hour older Mile markers punctuate the shoulder Harboring delusions of grandeur You're something like a canvas That's been stretched and primed You could become something priceless Or you could be a waste of time I need a meaning I can get behind (To be alone, to be alive) A better message to subscribe to (To be alone, to be alive) This is the best time to be alive (To be alone, to be alive) You see where complaining gets you (To be alone, to be alive) We're living much too We're living much too comfortably for me Keep drifting Keep drifting aimlessly Stay with me And we'll stay busy Endless trips to anywhere To end up where we'll be I need a meaning I can get behind (To be alone, to be alive) A better message to subscribe to (To be alone, to be alive) This is the best time to be alive (To be alone, to be alive) You see it, where complaining gets you (To be alone, to be alive)"
"1443","Mass Obliteration","Suffocation","Warfare, a promise to eliminate mankind The planet as we know it, taken by demented minds Warheads produced to exterminate the earth This sacrifice will lead us to our death, no rebirth No one has the power to declare this world to die Voting and electing the right to crucify Times of turmoil have decided what to do No need for common knowledge, we're through World explosion Mass obliteration ...of a race Forced to live here day by day through day by day We dread the fear of living in the afterworld spirits of the Dead Thoughts of nuclear holocaust that drive our world insane Women and children forced and left to kill Through daily hibernation, manage to survive Sifting through, they must be found, extinction we provide Purify - the unholy land Extinction - the so called master race Crucify - the preachers of this hate Liquify - the minds of those they create"
"1451","Muerte","Jedi Mind Tricks","De que te quiero, sí, te quiero, te quiero De que te quiero, sí, te quiero, te quiero Enter the eye of the storm Rappers just battle me for the glory It gets gory They shitty like suppositories, that's the end of the story Bury his body in Missouri Banish the apparatus of Gladys to crematories My territory, perimeter of purgatory Stingy in winches of vicious, malicious inflictions upon your click Circulatory Causing head spasms Rip through your motherfucking temple like Phantasm Hologram has'em and walks through the holy arches Left you in the forest with your carcass in the harness Death is upon us, we slam like Adrian Adonis Swarm on the warm blood like malicious pirahnas Islamic Bombers, no contender is parallel When I'm on paper, devastate'em like 7L So where I dwell, without question rattles the league Left you in a vessel with severe battle fatigue Before you leave I insist you listen to more raps Before I saw cats, making weapons out of your thorax De que te quiero, sí, te quiero, te quiero De que te quiero, sí, te quiero, te quiero De que te quiero, sí, te quiero, te quiero De que te quiero, sí, te quiero, te quiero I inhale toxins Drunk off blood from dead cops and The watchmen, that kill us in this maze we locked in Side Cobra Clutch, only truth can sober us Wild cause we know there's no Jehovah watching over us Only 10 percent that's controlling us Try to take our souls from us, while they stay patrolling us Caged in we break barriers, change to new areas Dodgin' the pigs in chariots out to bury us Jus Allah don't make threats Leave your fuckin' necks clipped Have you speakin' the manual alphabet Seein' me is def not repeated or done twice I laugh as I cast the first stones at Christ Joint in ace bands, you move to Graceland and Satan Mics spray then, bury flesh in wasteland Infect you Inject you with the gunpowder pegs Indent your forehead with hot lead Whether in the abode of the dead Or resting in the Zions Allah stay chasin' the dough like wild lions Unchained tearin' your flesh we unfed Flyin' through, like birds we takin' your daily bread De que te quiero, sí, te quiero, te quiero De que te quiero, sí, te quiero, te quiero De que te quiero, sí, te quiero, te quiero De que te quiero, sí, te quiero, te quiero Kindness of wooed and wooer Seems shame to their love pure O Love, your eyes lose lure When I behold eyes blinded in my stead! Your slender attitude Trembles not exquisite like limbs knife-skewed Rolling and rolling there Where God seems not to care: Till the fierce love they bear Cramps them in death’s extreme decrepitude Your voice sings not so soft,— Though even as wind murmuring through raftered loft,— Your dear voice is not dear Gentle, and evening clear As theirs whom none now hear Now earth has stopped their piteous mouths that coughed"
"1461","Punchlines","Mates of State","Waiting close by the door for us Can't hardly see out but if you could Make it all worth our while, punchlines Been saving up for some 90 years Waiting close by the door for us Can't hardly see out but if you could Make it all worth our while, punchlines Take pity on me But it's not the same without you around It's not the same without you I've been thinking it's an afterthought (Oh oh, oh oh, oh oh oh) Get into the car and you aim it at the sun, boy Can't you hear me in the aftermath  (Oh oh, oh oh, oh oh oh) Get into the car and you point it at the west, uh huh I've been thinking it's an afterthought Get into the car and aim it at the sun, oh oh I've been thinking in the aftermath Get into the car and point it at the west, oh oh Whoa! I've been thinking in the afterthought Get into the car and aim it at the sun, oh oh I've been thinking in the aftermath Get into the car and you point it at the west, whoa oh oh"
"1481","Asteroid","Killing Joke","And the third angel sounded And a star fell from heaven Burning as it were a lamp And it fell upon the third part of the waters Asteroid I'm a ball of fire A fire from heaven Terror from nowhere You'll never shoot me down Days turns to minutes Five seconds till it hits us Three seconds to ground One second to … Asteroid Asteroid Coming in from the void On the bed of the ocean Where history lies Strange civilisations Vaporised Days turns to minutes Five seconds till it hits us Three seconds to ground One second to … Asteroid Asteroid Coming in from the void I-N-R-I Nature renewed by fire, made whole And I climb to the mountain Light to dark Behind time and space A hole in your Ark Days turns to minutes Five seconds till it hits us Three seconds to ground One second to … Asteroid Asteroid Asteroid (I'm a ball of fire, A fire from heaven) Asteroid Coming in from the void I'm a ball of fire A fire from heaven Terror from nowhere You'll never shoot me down Asteroid Never shoot me down"
"1497","Impossible Is Nothing","Divine Heresy","Desperation's weight bears down Discouraging the faith of a soul I've denounced Left confound when aspirations are shattered Inward in doubt Divide and conquer Contentions waged, this climb engaged Defined by trial When called to arms, only the strong survive Desolation's end is now An extrication from demand I have renounced This I vow Never surrender or break in the face of defeat Divide and conquer Contentions waged, this climb engaged Defined by trial Only the strong survive Impossibility is fading Sky is open finally We've been waiting so long Oh, we've been waiting for so long So shall I learn from experience forever As long as life endures Give me conviction With every breath Constraint, suppression Now until death Give me conviction With every breath Constraint, suppression Now until death Impossibility is fading Sky is open, finally We've been waiting so long Oh, we've been waiting for so long So shall I learn from experience forever As long as life endures"
"1501","Consequence","Strapping Young Lad","Human mind Human soul Human weakness I love you I love you Fight! Fight! Fight! Fight! No No one No pride at all I see devastation and I'm ready to burn My skin is infected Quiet now, quiet now Quiet Human I love you, I love you Fight! Fight! Fight! Fight! No No one No pride at all You fail I am temptation Your saviour Now your soul dies Feeding the fucking hate You won't survive Nothing will ever survive Filling the void with nothingness All rise, Satan steals you away Hate springs eternal I see devastation and I'm ready to burn My skin is infected And I never Never There's no release"
"1511","Bleak","Soulfly","Maggots crawling Posers falling Suffocating in garbage So much trash In excess Feed your ego up your ass On your knees Blood sucking pigs Die of your own disease Worms and ashes Feed the masses Up your ass, blood cloth dead! Maggots crawling Two-face falling Suffocate on your vomit Just like sheeps To the slaughter Follow suit Follow orders On your knees Blood sucking pigs Drowning on your own shit Parasites Full of lies You got nothing left inside Bleak Bleak like crass Bleak Bleak like crass Maggots crawling Posers falling Suffocating in garbage Final warning No return It's the end, you fucking scum On your knees Blood sucking pigs Die of your own disease Parasites Full of lies You've got nothing left inside Bleak Bleak like crass Bleak Bleak like crass Bleak, fucking sick Bleak, fucking sick"
"1526","FYR","Le Tigre","Ten short years of progressive change Fifty fucking years of calling us names Can we trade Title IX for an end to hate crime? RU-486 if we suck your fucking dick? One step forward, five steps back One cool record in the year of rock-rap Yeah, we've got all the power, getting stabbed in the shower And we've got equal rights (on ladies' night) Feminists, we're calling you Please report to the front desk Let's name this phenomenon It's too dumb to bring us down F.Y.R. - fifty years of ridicule F.Y.R. - take another picture F.Y.R. - fifty years of ridicule F.Y.R. - take another picture I wonder whether we could be happy in a place like that Mrs. Doubtfire on Mother's Day On-the-job stalker for equal pay Toss us a few new AIDS drugs as national healthcare bites the dust While you were on vacation black people didn't get reparations You know, these days no one's exploited Sorry dude, can't hear you with my head in the toilet Feminists, we're calling you Please report to the front desk Let's name this phenomenon It's too dumb to bring us down F.Y.R. - fifty years of ridicule F.Y.R. - take another picture F.Y.R. - fifty years of ridicule F.Y.R. - take another picture I wonder whether we could be happy in a place like that You've really come a long way, baby It's you, not the world, that's totally crazy 'Cause we really rocked the fucking vote with election fraud in poor zip codes Celebrate gay marriage in Vermont by enforcing those old sodomy laws One step forward, five steps back We tell the truth, they turn up the laugh track I wonder whether we could be happy I wonder whether we could be happy I wonder whether we could be happy I wonder whether we could be Feminists, we're calling you Please report to the front desk Let's name this phenomenon It's too dumb to bring us down I had a friend who did that She used to ride the subway in New York City From the beginning of the line at New Lots Avenue All the way up to 241st Street in the Bronx And nobody would bother her"
"1536","Ibitsu","Boris","Infinite metamorphosis connecting worthlessness ""AKUMADEMO AKUMANONAI"" Won't be weathered away Keep on being Hate formulas Worthless rites Distorted intentions EVIL intentions Do not resist, eat up the will Up above the awareness Sand storming I will keep on being No need for forced logic Want to achieve this wicked formation Deform the sign of retaliation With the light of the rite Let it come out Want to get ecstacy from this wicked formation Deform the sign of retaliation"
"1546","Man on a Wire","Garbage","I looked into the mirror What did I see? There was a big black beast Looking back at me You looked into my eyes What did you see? You saw a big black beast Magnified in me Like a man on a wire I set myself on fire Destroyer of a dream Trying to find a spark Desperate for love Like a man on a wire I was like a volcano Just waiting to explode I have been resurrected, reborn And I have been transformed I was a green eyed monster Could you tell I was afraid? I sat myself down and shot my fear in the face Like a man on a wire I set myself on fire Destroyer of a dream Trying to find a spark Desperate for love Like a man on a wire That's right Yeah, I see you sitting around With your wristwatch And your white collared shirt I see you hoping to watch me fail You're hoping to watch me fail I sat myself down and shot my fear in the face Like a man on a wire I set myself on fire Destroyer of a dream Trying to find a spark Desperate for love Like a man on a wire I set myself on fire Destroyer of a dream Trying to find a spark Desperate for love Like a man on a wire"
"1553","Destroy What Destroys You","Kreator","Destroy what destroys you The world shall awake The chains of society Are laws ripe to break And the fear they're feeding us The prejudice and hate Will not tear us apart Till the end of our days Destroy what destroys you Time has come to awake Destroy what destroys you In God-forbidden land Resurrect the dream you've lost Before you regret Our souls may be darkened But we see the light The source of our inner strength Is power that cannot die Destroy what destroys you Time has come to awake Destroy what destroys you Destroy what destroys you Destroy what destroys you Time has come to awake Destroy what destroys you Destroy what destroys you Destroy what destroys you Time has come to awake Time has come to awake"
"1573","Afraid of Me","Twiztid","I'm so, hidden and you're never gonna see I'm cold, forgiven all because of my beliefs I'm no...body that you ever wanna be Cause I know that the world is afraid of me Now you can try to sedate me, assassinate or just hate me But there's nothing that you can do to me lately Now I'm greatly accepted in the mind so I'm confused and intertwined From being rejected so many times, I wanna leave it all behind So kind of you to pick up the album and give it a try for once And run and tell your homies that these motherfuckers will die for us So many questions, fingers pointing for answers Suggesting that I'm the cancer that lingers inside the pasture With green grass up to my neck, and situations that's too fast To think about and most people can't dream about A hundred million miles and every single second And every time you hear this record I want you to feel me on every sentence Reminisce from descendants of past treasures We'll embark on a journey that'll stay alive forever Plus I would stand over on my side of the fence Regardless of the circumstances or the consequences I am my own worst enemy I'm not the smartest motherfucker and shit, I don't pretend to be And why I am the way I am is not a mystery My mind's not in proper working order or in therapy Deranged confused and mentally abused Life spent hanging on the street so what the fuck I got to lose? And what the fuck I got to prove to you? If you don't know me by now, you'll never know me You can put that on my real homies I got problems and they stack like bills And I relate to the broken, bleeding heart love killed And I awaited in the shadows, awake in the dark Hoping to talk to the passed on, I'm falling apart I'm such a mess indecisive, I'm fading away I'm out of touch with society and living today Never relied on my sanity, I throw it away To become the maniac that's got your attention today Can you keep a secret? Well I'm afraid of the world because they want me to die Can you believe it? But I'm still alive... And been floating since '95 With my chin held high but I'm so dead inside Let the problems just roll and put them back into a pile Because it's just a bunch of shit that I can't deal with right now And I'm tired of always guessing and messing it up again And the next day it's even deeper and I'm steady sinking in I took a look at myself and came to grips with what I found It was a vision of a child, disturbed and broke down No soul, no heart because I gave it away No time for feeling sorry, I'll grieve another day And all those tears are stored in storm clouds That hover above me and cover the ugly Continued to haunt me when I was feeling low That's the same reason I hold on and never let go"
"1586","The Formative Years","Atheist","In the short time That I have spent here In this ghastly plane I've come to find There are so many things That should be changed Like the relationship Between the elder and the youth It lights the fuse that leads To all our problems And that's the truth Ambition, floods our hearts In a world in which We must succeed If it's only in our eyes Connoisseur of Opportunity Release your stubborn nature Don't electrify the seed Rectify the need We know you speak with them You're close but very far Communication is essential Like the light to stars No need to tell them no No need to slap their hands These are the formative years You would not understand Understand No need to tell them no No need to slap their hands These are the formative years You would not understand"
"1592","The Red, White And Blues","Defeater","That whiskey burns going down Old man pour me another round 'Cause it's my last night in town And I ain't thinking of slowing down No, I am fixing, I'm fixing to drown Till I see the sun or I can't see 'Cause I got the blues and the blues got me I'm gonna make my momma proud Her boy on the front lines And just like my daddy's done I ain't afraid to die I ain't afraid to die I ain't no fortunate one But I'm proud of what I've done Hardships, I've seen some I ain't a coward, I don't turn and run I don't turn and run So I stumble home, pack up my old memories Pictures of ma, my daddy's flask she gave me Keep it near your heart, she would always say It's all he left, and so that's where it'll stay Her leatherbound, book of psalms and prayers She would always read with patience and care A short walk to the cemetery to pay respects before I leave 1901 to 1943 I run my fingers through her name and the effigy The sun is up, it's all I see 'Cause I got the blues and they still got me Yeah, they still got me I'm gonna make my momma proud Her hopeful new recruit And just like my daddy done I'm gonna bleed red, white, and blue I'm gonna bleed red, white, and blue I'm gonna bleed red, white, and blue I'm gonna bleed red, white, and blue I'm gonna bleed red, white, and blue"
"1603","Spine","Machine Head","Bitterness infested, justice is molested Govern my contested ways As a child arrested, as a man detested Happiness inside my pain You hate my life Because you see my strife Could never understand or try It makes me mad Because it makes me sad But I don't care why You fake it, mistake it Fuck it away Your lying is trying My dignity I see right through your soul Can't help but feel this cold But this city made me so Life filled with deception, unwanted inception Want redemption for it all All my life frustrated, pushed, alienated Wait for me to take a fall My faith has waned Because I feel the strain In my eyes it's all gone wrong We'll rise above From this lack of love It won't be long now You fake it, mistake it Fuck it away Your lying is trying My dignity I see right through your soul Can't help but feel this cold But this city made me so I'm not the only one Can't be the only one No"
"1613","Standing Ovation","Young Jeezy","I told 'em straight drop this and ziplock that Right on my waistline is where I kept that strap (yeeeeah) I remember nights I didn't remember nights (nights) I damn near went crazy, had to get it right (that's right) Now I'm ya favorite rapper's favorite rapper (ay) Now I'm ya favorite trapper's favorite trapper (ha ha) The absolute truth, yeah I'm no joke Who me, I emerged from the crack smoke (yeah) In the hearts of those who grind with O's (O's) They feel my pain, they at my shows (jeah) That's why I got this glass pot and this triple beam (what) I tell 'em money talks like Charlie Sheen (ay) These are more than words, this is more than rap This is the streets and I am the trap Standing ovation Standing ovation These are more than words, this is more than rap This is the streets and I am the trap Standing ovation Standing ovation Once upon a time, I used to grind all night (grind all night) With that residue, that was iPod white (yeeeeeah) I'm a boss, I got Juice like the magazine (jeah) And everyday I see Feds like a magazine (ha ha) Psychopathic wordplay, schizophrenic flow (flow) I guess it's safe to say I got schizophrenic dough (daaaaamn) Fuck bad bitches, smoke big blunts (jeah) Who am I to tell ya different? Ya only live once (let's get it) All I blow is kush, yeah that Cali bud (bud) Got cali love when I got that Cali Blood (ay) My Spanish bitch in L.A., yeah I owe her one (one) Now them squares seventeen like Uncle Grady's son (yeeeeeeeah) These are more than words, this is more than rap This is the streets and I am the trap Standing ovation Standing ovation These are more than words, this is more than rap This is the streets and I am the trap Standing ovation Standing ovation The game flows through my veins, man I can't understand it Infatuation with the birds, I watch Animal Planet (ha ha) My life's a motion picture in Dolby Digital (ay) Street raised and the scale it was digital Calculate my every step, I'm a mathematician Make them pigeons disappear, I'm a damn magician (yeeeeeah) A .40 cal, rubberbands, and a shoebox (jeah) Run through a hundred grand watching Matlock (ay) Got it by the truckload, like the bread people (jeah) I got a Sixth Sense, I stack dead people (that's right) I'm talking Grants and Jacksons Swear it took a whole hour just to count the Jacksons (ay) These are more than words, this is more than rap This is the streets and I am the trap Standing ovation Standing ovation These are more than words, this is more than rap This is the streets and I am the trap Standing ovation Standing ovation"
"16210","She Bathed Herself In A Bath Of Bleach","Manic Street Preachers","She'd walk on broken glass for love She thought burnt skin would please her lover To keep love alive and lust beside Kind people should never be treated like (flies) Empty arms and an aching heart The love she sought through faltering thought Table for two, such a sweet delight Whispers ""I love you my darling tonight"" Love bathed her in a bath of bleach Brush her hair, no one else will Don't hurt her anymore, stop now But salmon pink skinned Mary still caring Empty arms and an aching heart The love she sought through faltering thought Table for two, such a sweet delight Whispers ""I love you my darling tonight"" Empty arms and an aching heart The love she sought through faltering thought Table for two, such a sweet delight Whispers ""I love you my darling tonight"""
"1642","One Step","Coal Chamber","Never again!... All my life, it's been much the same game All together now, who pass the blame game I'm not the one, so don't put your shame on You're not the one, that I put the blame on There is nothing I would rather do than Get up and explain life to you, friend There is nothing I would rather do than Get up and explain life to you One step forward - Two steps back Three steps forward - Go! (repeat) People want to come & take from me everything People want to come & leave me with nothing I'm not the one, so don't put your shame on You're not the one, that I put the blame on [Pre-Chorus] (alt line 4: ""Get the fuck up and..."") Why do you hide? So afraid of what you'll leave behind (repeat x4) [Chorus x4]... -(simultaneously in background:)- ...(Who put the blame on) (x6) ...(It wasn't my fault) (x6)"
"1655","TATI","6ix9ine","Hold up, let me get it started B.B. with the Robin's, lookin' all retarded B.B. saggin', fly like a dragon Bitches suck my dick, 'cause I'm fly like Aladdin Scum Gang! These bitches think I'm stupid, I ain't stupid Dummy boys fall in love with it, he stupid All these hoes on my body, cut the bullshit All these hoes, they ain't loyal, y'all lookin' stupid I just left Starlets and I ain't even cash out Back out, straight to the trap house, I blow her back out I'll pull her tracks out, got her running like it's track now Like a Smackdown, rock bottom I'ma pin her down Hold up, let me get it started B.B. with the Robin's, lookin' all retarded B.B. saggin', fly like a dragon Bitches suck my dick 'cause I'm fly like Aladdin Pour a semi, pull up to the cribby, uh Licky-licky, licky on my blicky, uh Take a flicky, make a movie with me, uh Take a flicky, make 'em real drippy, uh Why you watching me? You all on my IG Why you stalking me? You don't even follow me Why you tweet my shit? You ain't used to read my shit Bitch, you used to fuckin' leave me on seen and shit Went to the Eastside, spanked out Juju Lucky I ain't have it on me, I was gon' shoot you Spanked him on camera, threw it on YouTube Stupid lil' dumb nigga, now you on YouTube If a nigga want beef, I'm the type to drag it Shoot you while you with your bitch then it's back to mackin' Police pull up on me, I don't know what happened Police pull up on you, you gon' get to yappin' We gon' get to clappin', we been on static Semi-automatics, they gon' get to clappin' We ain't with the chattin', you lil' niggas cappin' If we catch you lackin', turn you into has-beens Ran through Lust, 100 bands up Shout out SpinKing, that's my motherfuckin' blood, nigga Go, go, go mulignane Go, go, mulignane Pour a semi, pull up to the cribby, uh Licky-licky, licky on my blicky, uh Take a flicky, make a movie with me, uh Take a flicky, make 'em real drippy, uh Why you watching me? You all on my IG Why you stalking me? You don't even follow me Why you tweet my shit? You ain't used to read my shit Bitch, you used to fuckin' leave me on seen and shit"
"1662","Deliverance","Gojira","Your words are so cold to me Indisposed, don't hear your orders Destroy the greatness of soul Normalize what's in your hands Take a look from the future Get up from your dream and see Deliverance soon is coming For those who know I take a sword in my hand now I fight and kill Thanatos Feel the ground under your feet The roots so deep Every step I chose to make Was just a kind of torture I changed my ways Now positive the fear became Can't control my arms Energy too strong, I feel Hypnotize myself, Blood boils inside For those who know, I want to be As clear, as real, as I protect Nothingness is all around I hate the taste of your words Every step I chose to make Was just a kind of torture I changed my ways Now positive the fear became I hate the taste of my lost illusions I choose to live for the only Reasons I felt on the ground I want to try"
"167","State of Emergency","Stiff Little Fingers","You're looking for something But what could that be? You look for a hero You don't look at me You looking around yourself There's nothing you can find You look for solutions But hate has made you blind You keep looking around you For something that's in your mind And you've spent the last ten years of your life In this emergency So please don't just sit there Let's try to break out From all the hatred Suspicion and doubt Try to change your life that is no life at all Try to break down the imaginary wall And if you couldn't be bothered Well then, my friend, you'll fall And spend all the rest of your life In this emergency Dial 999! It's an emergency! One, two, three, four!"
"169","Learn to Listen","Ramones","You got to learn to listen, listen to learn You got to learn to listen, before you get burned Learn to listen, listen to learn You got to learn to listen, before you get burned You got to have fun, not a fix in the arm You got to stay out of deep water Happiness is something you've got to earn You got to fight to make your love into returns Learn to listen, listen to learn You got to learn to listen, before you get burned Learn to listen, listen to learn You got to learn to listen, before you get burned You got the rights and there's always a temptation This one more screwed up the nation Got to have a plan, got to learn to listen Got to take a stab, you have my blessing, alright You got to take the cotton out of your ears You got to start hanging on to all your affairs I've lived your life for so many years All I got was self-pity and tears Learn to listen, listen to learn You got to learn to listen, before you get burned Learn to listen, listen to learn You got to learn to listen, before you get burned Learn to listen, listen to learn You got to learn to listen, before you get burned Learn to listen, listen to learn You got to learn to listen, before you get burned"
